% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
504	1	1	3	0	28	2196	0	1	0
505	1	3	2	0	20	1191	0	1	0
506	1	2	1	0	22	1383	0	1	0
507	1	4	4	0	14	775	0	1	0
508	1	4	4	0	14	775	0	1	0
509	1	3	2	0	20	1191	0	1	0
510	1	2	1	0	22	1383	0	1	0
511	1	1	3	0	28	2196	0	1	0
512	1	4	4	0	14	775	0	1	0
513	1	3	2	0	20	1191	0	1	0
514	1	2	1	0	22	1383	0	1	0
515	1	4	4	0	14	775	0	1	0
516	1	3	2	0	20	1191	0	1	0
517	1	2	1	0	22	1383	0	1	0
518	1	1	3	0	28	2196	0	1	0
519	1	4	4	0	14	775	0	1	0
520	1	3	2	0	20	1191	0	1	0
521	1	4	4	0	14	775	0	1	0
522	1	2	1	0	22	1383	0	1	0
523	1	4	4	0	14	775	0	1	0
524	1	3	2	0	20	1191	0	1	0
525	1	1	3	0	28	2196	0	1	0
526	1	2	1	0	22	1383	0	1	0
527	1	4	4	0	14	775	0	1	0
528	1	3	2	0	20	1191	0	1	0
529	1	4	4	0	14	775	0	1	0
530	1	2	1	0	22	1383	0	1	0
531	1	3	2	0	20	1191	0	1	0
532	1	1	3	0	28	2196	0	1	0
533	1	4	4	0	14	775	0	1	0
534	1	3	2	0	20	1191	0	1	0
535	1	2	1	0	22	1383	0	1	0
536	1	4	4	0	14	775	0	1	0
537	1	4	4	0	14	775	0	1	0
538	1	3	2	0	20	1191	0	1	0
539	1	1	3	0	28	2196	0	1	0
540	1	2	1	0	22	1383	0	1	0
541	1	4	4	0	14	775	0	1	0
542	1	3	2	0	20	1191	0	1	0
543	1	2	1	0	22	1383	0	1	0
544	1	1	3	0	28	2196	0	1	0
545	1	4	4	0	14	775	0	1	0
546	1	3	2	0	20	1191	0	1	0
547	1	4	4	0	14	775	0	1	0
548	1	2	1	0	22	1383	0	1	0
549	1	4	4	0	14	775	0	1	0
550	1	3	2	0	20	1191	0	1	0
551	1	1	3	0	28	2196	0	1	0
552	1	2	1	0	22	1383	0	1	0
553	1	4	4	0	14	775	0	1	0
554	1	3	2	0	20	1191	0	1	0
555	1	4	4	0	14	775	0	1	0
556	1	2	1	0	22	1383	0	1	0
557	1	3	2	0	20	1191	0	1	0
558	1	1	3	0	28	2196	0	1	0
559	1	1	3	0	28	2196	0	1	0
560	1	1	3	0	28	2196	0	1	0
561	1	1	3	0	28	2196	0	1	0
562	1	1	3	0	28	2196	0	1	0
563	1	4	4	0	14	775	0	1	0
564	1	2	1	0	22	1383	0	1	0
565	1	4	4	0	14	775	0	1	0
566	1	3	2	0	20	1191	0	1	0
567	1	1	3	0	28	2196	0	1	0
568	1	2	1	0	22	1383	0	1	0
569	1	1	3	0	28	2196	0	1	0
570	1	4	4	0	14	775	0	1	0
571	1	2	1	0	22	1383	0	1	0
572	1	4	4	0	14	775	0	1	0
573	1	3	2	0	20	1191	0	1	0
574	1	1	3	0	28	2196	0	1	0
575	1	2	1	0	22	1383	0	1	0
576	1	4	4	0	14	775	0	1	0
577	1	3	2	0	20	1191	0	1	0
578	1	1	3	0	28	2196	0	1	0
579	1	2	1	0	22	1383	0	1	0
580	1	4	4	0	14	775	0	1	0
581	1	3	2	0	20	1191	0	1	0
582	1	1	3	0	28	2196	0	1	0
583	1	2	1	0	22	1383	0	1	0
584	1	4	4	0	14	775	0	1	0
585	1	3	2	0	20	1191	0	1	0
586	1	1	3	0	28	2196	0	1	0
587	1	2	1	0	22	1383	0	1	0
588	1	4	4	0	14	775	0	1	0
589	1	3	2	0	20	1191	0	1	0
590	1	1	3	0	28	2196	0	1	0
591	1	3	2	0	20	1191	0	1	0
592	1	2	1	0	22	1383	0	1	0
593	1	1	3	0	28	2196	0	1	0
594	1	4	4	0	14	775	0	1	0
595	1	2	1	0	22	1383	0	1	0
596	1	3	2	0	20	1191	0	1	0
597	1	1	3	0	28	2196	0	1	0
598	1	4	4	0	14	775	0	1	0
599	1	2	1	0	22	1383	0	1	0
600	1	1	3	0	28	2196	0	1	0
601	1	3	2	0	20	1191	0	1	0
602	1	2	1	0	22	1383	0	1	0
603	1	1	3	0	28	2196	0	1	0
604	1	4	4	0	14	775	0	1	0
605	1	3	2	0	20	1191	0	1	0
606	1	2	1	0	22	1383	0	1	0
607	1	1	3	0	28	2196	0	1	0
608	1	3	2	0	20	1191	0	1	0
609	1	4	4	0	14	775	0	1	0
610	1	2	1	0	22	1383	0	1	0
611	1	1	3	0	28	2196	0	1	0
612	1	3	2	0	20	1191	0	1	0
613	1	2	1	0	22	1383	0	1	0
614	1	1	3	0	28	2196	0	1	0
615	1	4	4	0	14	775	0	1	0
616	1	3	2	0	20	1191	0	1	0
617	1	2	1	0	22	1383	0	1	0
618	1	1	3	0	28	2196	0	1	0
619	1	3	2	0	20	1191	0	1	0
620	1	2	1	0	22	1383	0	1	0
621	1	4	4	0	14	775	0	1	0
622	1	1	3	0	28	2196	0	1	0
623	1	3	2	0	20	1191	0	1	0
624	1	1	3	0	28	2196	0	1	0
625	1	2	1	0	22	1383	0	1	0
626	1	4	4	0	14	775	0	1	0
627	1	3	2	0	20	1191	0	1	0
628	1	2	1	0	22	1383	0	1	0
629	1	1	3	0	28	2196	0	1	0
630	1	3	2	0	20	1191	0	1	0
631	1	4	4	0	14	775	0	1	0
632	1	2	1	0	22	1383	0	1	0
633	1	1	3	0	28	2196	0	1	0
634	1	3	2	0	20	1191	0	1	0
635	1	4	4	0	14	775	0	1	0
636	1	2	1	0	22	1383	0	1	0
637	1	1	3	0	28	2196	0	1	0
638	1	3	2	0	20	1191	0	1	0
639	1	4	4	0	14	775	0	1	0
640	1	2	1	0	22	1383	0	1	0
641	1	1	3	0	28	2196	0	1	0
642	1	3	2	0	20	1191	0	1	0
643	1	4	4	0	14	775	0	1	0
644	1	2	1	0	22	1383	0	1	0
645	1	1	3	0	28	2196	0	1	0
646	1	3	2	0	20	1191	0	1	0
647	1	4	4	0	14	775	0	1	0
648	1	2	1	0	22	1383	0	1	0
649	1	1	3	0	28	2196	0	1	0
650	1	3	2	0	20	1191	0	1	0
651	1	4	4	0	14	775	0	1	0
652	1	2	1	0	22	1383	0	1	0
653	1	1	3	0	28	2196	0	1	0
654	1	3	2	0	20	1191	0	1	0
655	1	4	4	0	14	775	0	1	0
656	1	2	1	0	22	1383	0	1	0
657	1	1	3	0	28	2196	0	1	0
658	1	3	2	0	20	1191	0	1	0
659	1	4	4	0	14	775	0	1	0
660	1	2	1	0	22	1383	0	1	0
